hex_id,candidate,median_red,median_green,median_blue,green_fraction,dark_fraction,blue_fraction,reviewed_terrain
1001,clear_candidate,239,235,224,0.0,0.0,0.0,
1002,clear_candidate,239,235,224,0.0,0.0079,0.0,
1003,unresolved,205,194,178,0.0,0.1964,0.0278,
1004,clear_candidate,239,235,224,0.0,0.0853,0.0,
1005,clear_candidate,239,235,224,0.0,0.0516,0.0,
1006,clear_candidate,239,235,224,0.0,0.0437,0.0,
1007,clear_candidate,239,235,224,0.0,0.0635,0.0,
1008,clear_candidate,239,235,224,0.0,0.0238,0.0,
1009,clear_candidate,239,235,224,0.0,0.0,0.0,
1010,clear_candidate,239,235,224,0.0,0.0,0.0,
1011,clear_candidate,239,235,224,0.0,0.0,0.0,
1012,clear_candidate,239,235,224,0.0,0.0,0.0,
1013,clear_candidate,239,235,224,0.0,0.0377,0.0,
1101,clear_candidate,239,235,224,0.0,0.0536,0.0,
1102,clear_candidate,239,235,224,0.0,0.0317,0.0,
1103,clear_candidate,239,235,224,0.0,0.0357,0.0,
1104,clear_candidate,239,235,224,0.0,0.0595,0.0,
1105,clear_candidate,239,235,224,0.0,0.0,0.0,
1106,clear_candidate,239,235,224,0.0,0.0754,0.0,
1107,clear_candidate,239,235,224,0.0,0.0,0.0,
1108,clear_candidate,239,235,224,0.0,0.0357,0.0,
1109,clear_candidate,239,235,224,0.0,0.0119,0.0,
1110,clear_candidate,239,235,224,0.0,0.0198,0.0,
1111,clear_candidate,238,234,223,0.0,0.1706,0.0,
1112,clear_candidate,239,235,224,0.0,0.0357,0.0,
1113,clear_candidate,239,235,224,0.0,0.0516,0.0,
1200,clear_candidate,239,235,224,0.0,0.0,0.0,clear
1201,clear_candidate,239,235,224,0.0,0.0238,0.0,clear
1202,clear_candidate,239,235,224,0.0,0.0397,0.0,clear
1203,clear_candidate,239,235,224,0.0,0.0655,0.0,
1204,clear_candidate,239,235,224,0.0,0.0278,0.0159,
1205,clear_candidate,239,235,224,0.0,0.0159,0.0,
1206,clear_candidate,239,235,224,0.0,0.0,0.0,
1207,clear_candidate,239,235,224,0.0,0.0,0.0,
1208,clear_candidate,239,235,224,0.0,0.0278,0.0,
1209,clear_candidate,239,235,224,0.0,0.0536,0.0,
1210,clear_candidate,239,235,224,0.0,0.0556,0.0,
1211,unresolved,204,194,179,0.004,0.1528,0.0734,
1212,clear_candidate,239,235,224,0.0,0.0,0.0,
1213,clear_candidate,239,235,224,0.0,0.0,0.0,
1300,clear_candidate,239,235,224,0.0,0.0,0.0,clear
1301,clear_candidate,239,235,224,0.0,0.0337,0.0,clear
1302,clear_candidate,239,235,224,0.0,0.0337,0.0,clear
1303,clear_candidate,239,235,224,0.0992,0.0238,0.0,
1304,clear_candidate,239,235,224,0.0,0.0,0.0,
1305,clear_candidate,239,233,222,0.0079,0.0,0.0,
1306,clear_candidate,239,234,223,0.002,0.0337,0.0,
1307,clear_candidate,239,235,224,0.002,0.0238,0.0,
1308,clear_candidate,239,235,224,0.0,0.0298,0.0,
1309,clear_candidate,239,235,223,0.002,0.0,0.0,
1310,clear_candidate,239,235,224,0.002,0.0,0.0,
1311,clear_candidate,239,233,223,0.0,0.0,0.004,
1312,vegetation_candidate,164,195,136,0.7679,0.0437,0.004,
1313,vegetation_candidate,178,205,147,0.75,0.0,0.0,
1400,clear_candidate,239,235,224,0.0,0.0,0.0,clear
1401,clear_candidate,239,235,224,0.0,0.0,0.0,clear
1402,clear_candidate,239,235,224,0.1171,0.0556,0.0,clear
1403,clear_candidate,239,234,223,0.0,0.0,0.0,
1404,clear_candidate,239,235,224,0.002,0.0,0.0,
1405,clear_candidate,238,234,223,0.004,0.0,0.0,
1406,clear_candidate,239,235,224,0.0,0.0,0.0,
1407,clear_candidate,239,235,224,0.0,0.0,0.0,
1408,clear_candidate,239,235,224,0.0,0.0,0.0,
1409,clear_candidate,239,235,224,0.0,0.0,0.0,
1410,clear_candidate,239,235,224,0.0,0.0,0.004,
1411,vegetation_candidate,165,197,136,0.9226,0.0,0.0,
1412,vegetation_candidate,165,197,136,0.8452,0.0238,0.0,
1413,clear_candidate,239,234,223,0.0,0.0516,0.0,
1415,clear_candidate,239,235,224,0.0,0.0,0.0,
1421,clear_candidate,239,235,224,0.0,0.0,0.0,
1500,clear_candidate,239,235,224,0.0,0.0,0.0,clear
1501,clear_candidate,239,235,224,0.0,0.0,0.0,clear
1502,clear_candidate,239,233,219,0.1369,0.0298,0.0,clear
1503,clear_candidate,239,235,224,0.002,0.0,0.0,
1504,clear_candidate,239,235,224,0.0,0.0476,0.0,
1505,clear_candidate,239,235,224,0.0,0.0,0.0,
1506,clear_candidate,239,235,224,0.0,0.0,0.0,
1507,clear_candidate,239,235,224,0.0,0.0,0.0,
1508,clear_candidate,239,235,224,0.0,0.0,0.0,
1509,clear_candidate,239,235,224,0.0,0.0,0.0,
1510,clear_candidate,239,235,224,0.0,0.0337,0.0,
1511,clear_candidate,239,235,224,0.0,0.0,0.0,
1512,vegetation_candidate,174,199,143,0.7262,0.0,0.0,
1513,clear_candidate,239,235,224,0.0,0.0,0.0357,
1515,clear_candidate,239,235,224,0.0,0.0,0.0,
1517,clear_candidate,239,235,224,0.0,0.0337,0.0,
1518,clear_candidate,239,235,224,0.0,0.0,0.0,
1523,clear_candidate,239,234,223,0.0,0.0615,0.0,
1600,clear_candidate,239,235,224,0.0,0.0,0.0,clear
1601,clear_candidate,239,235,224,0.0,0.0,0.0,clear
1602,clear_candidate,239,235,224,0.1667,0.0218,0.0,clear
1603,clear_candidate,239,235,224,0.0,0.0,0.0,
1604,clear_candidate,239,235,224,0.0,0.0,0.0,
1605,clear_candidate,239,235,224,0.0,0.0,0.0,
1606,clear_candidate,239,235,224,0.0,0.0,0.0,
1607,clear_candidate,239,235,224,0.0,0.0,0.0,
1608,clear_candidate,239,235,224,0.0,0.0,0.0,
1609,clear_candidate,239,235,224,0.0,0.004,0.0,
1610,clear_candidate,239,235,224,0.0,0.0,0.0,
1611,clear_candidate,239,235,224,0.0,0.0,0.0,
1612,clear_candidate,239,235,224,0.0,0.0,0.0,
1613,clear_candidate,239,235,224,0.0,0.0,0.0,
1620,clear_candidate,239,234,223,0.0,0.0873,0.0,
1621,vegetation_candidate,171,196,141,0.8036,0.0,0.0,
1700,clear_candidate,239,235,224,0.0,0.0,0.0,clear
1701,clear_candidate,239,235,224,0.0,0.0,0.0,clear
1702,clear_candidate,239,235,224,0.1667,0.004,0.0,clear
1703,clear_candidate,239,235,224,0.0,0.0,0.0,
1704,clear_candidate,239,235,224,0.0,0.0,0.0,
1705,clear_candidate,239,235,224,0.0,0.0,0.0,
1706,clear_candidate,239,235,224,0.0,0.0,0.0,
1707,clear_candidate,239,235,224,0.0,0.0,0.0,
1708,clear_candidate,239,235,224,0.0,0.0,0.0,
1709,clear_candidate,239,235,224,0.0,0.0,0.0,
1710,clear_candidate,239,235,224,0.0,0.0,0.0,
1711,clear_candidate,239,235,224,0.0,0.0,0.0,
1712,clear_candidate,239,235,224,0.0,0.0,0.0,
1713,clear_candidate,239,235,224,0.0,0.0,0.0,
1714,clear_candidate,239,235,224,0.0,0.0,0.0,
1715,clear_candidate,239,235,224,0.0,0.0337,0.0,
1716,clear_candidate,239,235,224,0.0,0.002,0.0,
1717,clear_candidate,239,235,224,0.0,0.0615,0.0,
1719,clear_candidate,239,235,224,0.0,0.0,0.0,
1721,vegetation_candidate,178,204,147,0.6329,0.0397,0.0,
1722,vegetation_candidate,164,196,134,0.8631,0.0,0.0,
1800,clear_candidate,239,235,224,0.0,0.0,0.0,clear
1801,clear_candidate,239,235,224,0.0,0.0,0.0,clear
1802,clear_candidate,239,235,224,0.1766,0.0456,0.0,clear
1803,clear_candidate,239,235,224,0.0,0.0,0.0,
1804,clear_candidate,239,235,224,0.0,0.0,0.0,
1805,clear_candidate,239,235,224,0.0,0.0,0.0,
1806,unresolved,239,228,209,0.0,0.0615,0.0,
1807,clear_candidate,239,235,224,0.0,0.0,0.0,
1808,clear_candidate,239,235,224,0.0,0.0,0.0079,
1809,clear_candidate,239,235,224,0.0,0.0,0.0,
1810,clear_candidate,239,235,224,0.0,0.0,0.0,
1811,clear_candidate,239,235,224,0.0,0.0,0.0,
1812,clear_candidate,239,235,224,0.0,0.0,0.0,
1813,clear_candidate,239,235,224,0.0,0.0,0.0,
1814,clear_candidate,239,235,224,0.0,0.0,0.0,
1815,clear_candidate,239,235,224,0.0,0.0,0.0,
1816,clear_candidate,239,235,224,0.2083,0.0417,0.0,
1817,clear_candidate,239,235,224,0.0913,0.0516,0.0,
1818,clear_candidate,239,235,224,0.0,0.0,0.0,
1819,unresolved,228,206,152,0.3889,0.0,0.0,
1820,clear_candidate,239,235,224,0.0,0.0,0.0,
1821,unresolved,222,203,152,0.3353,0.0317,0.006,
1822,vegetation_candidate,165,198,135,0.9187,0.0238,0.0,
1823,unresolved,204,194,178,0.0,0.1647,0.0556,
1824,unresolved,195,189,178,0.002,0.1548,0.1131,
1825,clear_candidate,239,235,224,0.0,0.0853,0.0,
1826,clear_candidate,239,235,224,0.0,0.0556,0.0,
1827,clear_candidate,239,235,224,0.0,0.0377,0.0,
1828,clear_candidate,239,235,224,0.0,0.0,0.0,
1829,clear_candidate,239,235,224,0.0,0.1825,0.0,
1830,clear_candidate,239,235,224,0.0,0.0337,0.0,
1831,clear_candidate,239,235,224,0.0,0.0377,0.0,
1832,clear_candidate,239,234,224,0.0,0.0556,0.0,
1900,clear_candidate,239,235,224,0.0,0.0,0.0119,clear
1901,clear_candidate,239,235,224,0.0,0.0,0.0,clear
1902,clear_candidate,239,235,224,0.0,0.0119,0.0,clear
1903,clear_candidate,239,235,224,0.1587,0.0377,0.0,
1904,clear_candidate,239,235,224,0.0,0.0,0.0,
1905,clear_candidate,239,235,224,0.0,0.0198,0.0,
1906,clear_candidate,239,235,224,0.0,0.0159,0.0,
1907,clear_candidate,239,235,224,0.0,0.0258,0.0,
1908,clear_candidate,239,235,224,0.0,0.0476,0.0,
1909,clear_candidate,239,235,224,0.0,0.0198,0.0,
1910,clear_candidate,239,235,224,0.0,0.0437,0.0,
1911,clear_candidate,239,235,224,0.0,0.0317,0.0,
1912,clear_candidate,239,235,224,0.0,0.0556,0.0,
1913,clear_candidate,239,235,224,0.0,0.0337,0.0,
1914,clear_candidate,239,235,224,0.0,0.0873,0.0,
1915,clear_candidate,239,235,224,0.0,0.0,0.0,
1916,clear_candidate,239,235,224,0.2143,0.0377,0.006,
1917,clear_candidate,239,235,224,0.0,0.0,0.0,
1918,clear_candidate,239,235,224,0.0,0.0357,0.0,
1919,clear_candidate,239,235,224,0.0,0.0,0.0,
