unit_id,term_id,movement_class,review_status,source_ref
GE-2AHQ,artillery_support_unit,mechanized,filename_inference_pending_symbol_review,images_high/GE-2AHQ-f.png
GE-385Inf-Div,infantry,non_mechanized,filename_inference_pending_symbol_review,images_high/GE-385Inf-Div-f.png
GE-45Inf-Div,infantry,non_mechanized,filename_inference_pending_symbol_review,images_high/GE-45Inf-Div-f.png
GE-95Inf-Div,infantry,non_mechanized,filename_inference_pending_symbol_review,images_high/GE-95Inf-Div-f.png
GE-383Inf-Div,infantry,non_mechanized,filename_inference_pending_symbol_review,images_high/GE-383Inf-Div-f.png
GE-177&243Stug-Bn,sturmgeschutz,mechanized,symbol_sample_checked,images_high/GE-177&243Stug-Bn-f.png
GE-4PzAHQ,artillery_support_unit,mechanized,filename_inference_pending_symbol_review,images_high/GE-4PzAHQ-f.png
GE-SupplyPt-1,supply_point,mechanized,symbol_sample_checked,images_high/GE-SupplyPt-1-f.png
GE-9Pz-Div,tank_unit,mechanized,filename_inference_pending_symbol_review,images_high/GE-9Pz-Div-f.png
GE-11Pz-Div,tank_unit,mechanized,filename_inference_pending_symbol_review,images_high/GE-11Pz-Div-f.png
GE-3Pzg-Div,panzergrenadier,mechanized,symbol_sample_checked,images_high/GE-3Pzg-Div-f.png
GE-82Inf-Div,infantry,non_mechanized,filename_inference_pending_symbol_review,images_high/GE-82Inf-Div-f.png
GE-88Inf-Div,infantry,non_mechanized,filename_inference_pending_symbol_review,images_high/GE-88Inf-Div-f.png
GE-377Inf-Div,infantry,non_mechanized,filename_inference_pending_symbol_review,images_high/GE-377Inf-Div-f.png
GE-24Pz-Div,tank_unit,mechanized,filename_inference_pending_symbol_review,images_high/GE-24Pz-Div-f.png
GE-16Pzg-Div,panzergrenadier,mechanized,filename_inference_pending_symbol_review,images_high/GE-16Pzg-Div-f.png
GE-GDPzg-Div,panzergrenadier,mechanized,filename_inference_pending_symbol_review,images_high/GE-GDPzg-Div-f.png
GE-387Inf-Div,infantry,non_mechanized,filename_inference_pending_symbol_review,images_high/GE-387Inf-Div-f.png
GE-340Inf-Div,infantry,non_mechanized,filename_inference_pending_symbol_review,images_high/GE-340Inf-Div-f.png
HU-6LInf-Div,infantry,non_mechanized,filename_inference_pending_symbol_review,images_high/HU-6LInf-Div-f.png
HU-9LInf-Div,infantry,non_mechanized,filename_inference_pending_symbol_review,images_high/HU-9LInf-Div-f.png
HU-7LInf-Div,infantry,non_mechanized,filename_inference_pending_symbol_review,images_high/HU-7LInf-Div-f.png
GE-6AHQ,artillery_support_unit,mechanized,filename_inference_pending_symbol_review,images_high/GE-6AHQ-f.png
GE-57Inf-Div,infantry,non_mechanized,filename_inference_pending_symbol_review,images_high/GE-57Inf-Div-f.png
GE-168Inf-Div,infantry,non_mechanized,filename_inference_pending_symbol_review,images_high/GE-168Inf-Div-f.png
