hex_id,direction,neighbor_id,review_status
1013,s,1014,zone_unconfirmed
1013,se,1114,zone_unconfirmed
1014,s,1015,zone_unconfirmed
1014,ne,1114,zone_unconfirmed
1014,se,1115,zone_unconfirmed
1015,s,1016,zone_unconfirmed
1015,ne,1115,zone_unconfirmed
1015,se,1116,zone_unconfirmed
1016,ne,1116,zone_unconfirmed
1016,se,1117,zone_unconfirmed
1113,s,1114,zone_unconfirmed
1114,s,1115,zone_unconfirmed
1114,ne,1213,zone_unconfirmed
1114,se,1214,zone_unconfirmed
1115,s,1116,zone_unconfirmed
1115,ne,1214,zone_unconfirmed
1115,se,1215,zone_unconfirmed
1116,s,1117,zone_unconfirmed
1116,ne,1215,zone_unconfirmed
1116,se,1216,zone_unconfirmed
1117,ne,1216,zone_unconfirmed
1117,se,1217,zone_unconfirmed
1213,s,1214,zone_unconfirmed
1213,se,1314,zone_unconfirmed
1214,s,1215,zone_unconfirmed
1214,ne,1314,zone_unconfirmed
1214,se,1315,zone_unconfirmed
1215,s,1216,zone_unconfirmed
1215,ne,1315,zone_unconfirmed
1215,se,1316,zone_unconfirmed
1216,s,1217,zone_unconfirmed
1216,ne,1316,zone_unconfirmed
1216,se,1317,zone_unconfirmed
1217,ne,1317,zone_unconfirmed
1217,se,1318,zone_unconfirmed
1313,s,1314,zone_unconfirmed
1314,s,1315,zone_unconfirmed
1314,ne,1413,zone_unconfirmed
1314,se,1414,zone_unconfirmed
1315,s,1316,zone_unconfirmed
1315,ne,1414,zone_unconfirmed
1315,se,1415,zone_unconfirmed
1316,s,1317,zone_unconfirmed
1316,ne,1415,zone_unconfirmed
1316,se,1416,zone_unconfirmed
1317,s,1318,zone_unconfirmed
1317,ne,1416,zone_unconfirmed
1317,se,1417,zone_unconfirmed
1318,s,1319,zone_unconfirmed
1318,ne,1417,zone_unconfirmed
1318,se,1418,zone_unconfirmed
1319,s,1320,zone_unconfirmed
1319,ne,1418,zone_unconfirmed
1319,se,1419,zone_unconfirmed
1320,ne,1419,zone_unconfirmed
1320,se,1420,zone_unconfirmed
1413,s,1414,zone_unconfirmed
1413,se,1514,zone_unconfirmed
1414,s,1415,zone_unconfirmed
